Site,Fire,Spp.richness,Ele,TWI,Insol,veg_pca1
1,2005,21,18.30802731,3.593406151,2221.856255,-4.153608913
2,2002,12,166.4504389,4.019835011,2179.986156,-2.653835995
3,1990,9,882.2795408,3.38946494,2443.518896,-2.016759259
4,2002,11,662.4315355,3.226288475,2236.631737,-2.669983493
5,1990,17,2.608009872,6.802728967,2403.345774,-1.067647457
6,1990,19,2.136561751,7.225482087,2389.681502,-1.023239074
7,1990,12,2.540854808,7.532659181,2402.78463,-0.430963973
8,1990,12,167.3685004,3.883215227,2112.411418,-2.651818937
9,1990,8,169.0348781,6.029999262,2298.740968,-1.406458019
10,1990,18,213.0048655,4.326086787,2449.113668,-0.019164151
11,1990,18,25.72053818,4.222863911,2324.192622,-4.243006644
12,1990,9,455.526571,3.444491432,2087.876919,-3.10501807
13,2001,21,814.1214157,4.7262793,2428.202169,-3.65980132
14,2001,14,799.4757673,4.090401888,1984.0406,-2.840819877
15,2001,14,766.9696341,4.598931292,2181.68647,-3.231424463
16,1990,12,176.9589906,3.479923862,2222.307121,2.310460683
17,1990,14,178.3131658,3.89321513,2254.898324,2.020596787
18,1990,12,168.4081764,3.76960586,2210.311845,1.323260833
19,1990,20,108.6819261,4.225568759,2504.873684,2.366969759
20,1990,19,272.7801747,3.411925759,1547.512561,1.461492927
21,1990,16,145.5947202,4.34525217,2290.076646,-0.358120022
22,1990,14,132.6811655,3.898467486,1766.555144,1.145058856
23,1990,14,132.8133923,3.63822878,1948.654239,2.317963058
24,1990,12,129.6341507,4.262318541,2030.669793,2.080773455
25,1990,7,592.7093097,4.299761322,1528.713596,0.751930896
26,1990,8,567.1719104,3.863641027,1460.438618,2.602395704
27,1990,12,466.861409,4.837815454,1839.643318,1.501162091
28,1990,10,436.5933535,3.491055958,1924.055935,-2.415744414
29,1990,14,44.43221165,3.817358258,1934.530484,2.661192217
30,1990,15,209.7790113,5.188156421,2219.41871,3.152565302
31,1990,12,211.9717381,3.79905866,1553.065901,1.953246072
32,1990,7,174.9522896,4.00932972,1694.413202,1.642317874
33,1990,14,253.4852726,3.59528062,1865.331118,0.374852393
34,1990,11,26.98666909,4.325802945,2425.982305,2.764511854
35,1990,13,347.8592148,4.137925514,1785.72368,3.949152304
36,1990,15,349.224163,4.123396956,1856.844591,3.216836238
37,1990,13,392.0551296,4.266253895,1989.177478,1.36212746
38,1990,12,403.6111466,3.49074843,1731.97107,1.948359635
39,1990,14,67.18256165,3.439749723,2030.526318,0.03946546
40,1990,9,88.24606079,3.963730431,2295.543066,-0.184849443
41,1990,7,170.7031047,4.678011337,2350.079806,1.491926749
42,1990,7,207.9997274,3.598639314,1832.178586,-2.446490604
43,1990,5,179.5244578,5.378961153,2414.407913,-0.388906393
44,1990,5,164.4348567,4.064456398,2320.071081,-1.902823561
45,1990,10,221.3107601,4.140106324,2152.617045,5.029698164
46,1990,15,225.70756,4.050075534,2298.9336,4.792385667
47,1990,14,260.3370439,3.194883312,2223.440711,-2.897193515
48,1990,15,44.28202483,4.150478356,2083.490874,1.631469481
49,1990,9,98.92554974,3.327617235,1841.412121,2.219036135
50,1990,19,418.1984294,4.826112558,2266.767619,-0.319417933
51,1990,5,812.2076314,5.293717722,2163.859156,1.791779203
52,1990,15,83.22875325,4.195968419,2197.657876,2.964754963
53,1990,17,147.82377,5.928497175,2277.302181,2.697138879
54,1990,20,179.1164022,3.8794179,2144.036786,3.095281341
55,1990,8,178.2299955,4.187150199,2062.555946,2.470966127
56,1990,18,349.3605087,3.953169104,2136.21592,0.763274067
57,1990,9,336.2384197,4.239540163,2259.138959,2.719588901
58,1990,14,419.9705699,4.932541989,2179.441134,1.105654315
59,1990,12,219.8013363,4.635582357,2397.269336,2.155088612
60,1990,11,161.0402516,3.634821611,2405.278304,0.551546244
61,1990,7,266.7146985,3.249408978,2091.88474,-4.514619785
62,1990,15,114.1821642,3.581478246,1995.644153,-1.416256428
63,1990,15,232.6892887,4.211170994,2269.397377,-1.386376445
64,1990,13,128.617363,3.935949071,2454.495824,-2.441648394
65,1990,10,206.5880439,5.20516034,2198.574533,-2.454576564
66,1990,14,246.9726731,4.328474714,2480.024329,-2.515021806
67,1990,14,85.62570986,4.374428094,1866.986079,-1.497190986
68,1990,11,213.2188746,3.775074728,1832.960957,-1.806661017
69,1990,17,237.5164127,3.858549668,2152.030444,-2.592270589
70,1990,12,141.383507,4.537902344,2196.148731,-2.017575397
71,1990,12,69.93258356,5.217321562,2403.954739,-2.11067344
72,1990,14,65.51644275,4.08826238,2330.74232,-0.518313057
73,1990,16,42.29147102,4.407824616,2318.542736,-2.660236301
74,1990,13,298.9309885,4.062980215,2349.176569,-0.135580755
75,1990,9,222.3186093,4.256080172,1984.728339,-0.045106222
76,1990,15,96.08745269,4.618605734,2489.55058,-2.102266207
77,1990,10,49.44820439,4.452963983,2227.930932,-2.635266232
78,1990,12,441.810995,3.542415868,2244.244285,-0.559776576
79,1990,12,316.2251466,4.074798933,2432.20484,1.958130037
80,1990,12,304.2057395,3.539844879,2529.573699,-0.887899008
